,wtp_none,wtp_dev,wtp_treateff,woa_none,woa_dev,woa_treateff,g1_sticky_none,g1_sticky_dev,g1_sticky_treateff,g1_predonly_none,g1_predonly_dev,g1_predonly_treateff
"('raw', 'single weighted abs', 'dev_task_cluster')",0.12375579864006846,0.023150882242487184,0.008793361753790509,0.3859068502678919,0.0554428937929714,0.07951367667857873,0.1669341288973137,0.020635066100772582,0.08576806252918065,0.1694969919797468,0.029031198760469504,0.044488797959614995
"('raw', 'single weighted abs', 'stage_cluster')",0.10462523152616636,0.4336100976677342,0.4611390412199366,0.20235892992865795,0.20923747025796213,0.16112638946167462,0.5145797594140407,0.0741825676612969,0.1964252932082896,0.627931229360298,0.09147318319147794,0.15799101619917177
"('raw', 'single weighted abs', 'dev_stage_cluster')",0.020287623773959765,0.10325924557491707,0.3467537576970354,0.29907453077466806,0.03794915377471186,0.2056445834181837,0.29407651162561316,0.04257161167496095,0.2721590053345198,0.42558579840661165,0.026132256289833556,0.26257168206034265
"('mig_prolific', 'aggregated', 'robust')",0.18332273283615896,0.6099833637598266,0.716352289342791,0.07950621247220531,0.08898657236325078,0.3108830727684889,0.5313962691061263,0.0002756666798006818,0.2102639743513688,0.44502952467842893,0.0021757853965142715,0.15545157345426533
"('mig_prolific', 'aggregated', 'dev_cluster')",0.3127468799490364,0.38739219905278355,0.2483874675489618,0.06747903329853353,0.11913981215610533,0.5807203578026057,0.48187353261077925,0.054994565716318895,0.2035072672348114,0.4452145021471384,0.0616084298644921,0.1655262656021057
"('mig_prolific', 'aggregated', 'task_cluster')",0.043737048967841065,0.8059165468257796,0.8897443263269957,0.3176106350657157,0.0627129349277735,0.24253686598917168,0.1438145835033332,0.06715989787483025,0.39983677469323664,0.4114970216704041,0.01538232834391421,0.40646379799556337
"('mig_prolific', 'aggregated', 'dev_task_cluster')",0.23514375672123145,0.6315769782175674,0.7382134610289273,0.09755592011319894,0.23666704337706546,0.38707832632645567,0.31556311833129846,0.005294007352456748,0.16439088504030921,0.3055162358280528,0.02707845040577464,0.13363465118420664
"('mig_prolific', 'aggregated', 'stage_cluster')",0.3603204406231337,0.8466489375210849,0.9130747298850255,0.01931791891160125,0.016174578208932193,0.08962429182521933,0.807577052504895,0.014289382048750375,0.0578607893006713,0.7618287625154272,0.22440478019361168,0.160409038240903
"('mig_prolific', 'aggregated', 'dev_stage_cluster')",0.2392787662268594,0.6786349515030347,0.8209211165012403,0.09953344215990342,0.16423110954022505,0.37115960797912523,0.6039706695334464,0.022733952393485215,0.13251836211814771,0.525931725424833,0.08536954856645258,0.12656748465470685
"('mig_prolific', 'aggregated weighted', 'robust')",0.17661864374638014,0.9240904023493571,0.8969592961193222,0.2894517133862522,0.22500624805261138,0.12605252466647474,0.24732803000946002,0.0011550307487087936,0.04046616719494508,0.3126677763609178,0.01045386882366563,0.031096985332008078
"('mig_prolific', 'aggregated weighted', 'dev_cluster')",0.2418186955955229,0.8197424954580509,0.8031990613431272,0.1929432641559386,0.23410336178468913,0.29661945876828566,0.14967257652222077,0.06494572002796081,0.1485190452655761,0.2811636357095592,0.15808587335554328,0.11728111776972944
"('mig_prolific', 'aggregated weighted', 'task_cluster')",0.11273914448439755,0.9587958688811856,0.9603916703481032,0.5225227752459539,0.3121846061095607,0.3901440020252453,0.5531090458591561,0.08579795169951356,0.0481626936649848,0.5445195466349855,0.2140744744064675,0.04484238106704009
"('mig_prolific', 'aggregated weighted', 'dev_task_cluster')",0.1250631432189637,0.9235238630818353,0.9025648028157844,0.37658734410270556,0.277588519458366,0.25113198221386346,0.18962685125512038,0.007248413669629004,0.022140418344181477,0.24104319212456413,0.04747964262228415,0.018948828020304793
"('mig_prolific', 'aggregated weighted', 'stage_cluster')",0.16074215657461088,0.9622841979410667,0.9536526657216918,0.2806647271026287,0.49740129743175826,0.3362672318647194,0.6005157773210278,0.015053722522473731,0.12990009956543228,0.6131855987270833,0.011362120764188218,0.22849029454487194
