garden,basement,elevator,balcony,floor (storey),nmbr of rooms,sq_meters,construction year,price,unemployment,Anteil Gruenenwaehler,Berlin,Duesseldorf,Frankfurt,Hamburg,Koeln,Muenchen,Stuttgart
True,True,True,True,1.0,3.0,80.1,2018.0,619000.0,3,1,0,0,1,0,0,0,0
True,True,True,True,-1.0,4.0,115.0,2013.0,623000.0,1,1,0,0,1,0,0,0,0
False,True,False,False,-1.0,4.0,115.0,2013.0,623000.0,1,1,0,0,1,0,0,0,0
False,False,True,False,-1.0,2.0,88.93,2017.0,630000.0,3,1,0,0,1,0,0,0,0
False,False,True,True,-1.0,2.0,67.2,2022.0,631600.0,1,1,0,0,1,0,0,0,0
False,True,True,True,1.0,3.0,92.58,2023.0,635000.0,2,1,0,0,1,0,0,0,0
True,True,True,True,3.0,2.0,69.0,2021.0,635000.0,1,3,0,0,1,0,0,0,0
False,True,True,True,-1.0,2.0,55.02,2023.0,635900.0,2,1,0,0,1,0,0,0,0
False,False,True,True,-1.0,2.0,67.5,2022.0,648900.0,1,1,0,0,1,0,0,0,0
True,True,False,True,-1.0,4.0,94.0,2008.0,650000.0,2,1,0,0,1,0,0,0,0
False,True,True,True,3.0,3.0,88.0,2009.0,650000.0,1,1,0,0,1,0,0,0,0
False,True,True,False,-1.0,2.0,58.08,2023.0,659900.0,2,1,0,0,1,0,0,0,0
False,True,False,True,-1.0,3.0,100.0,1995.0,665000.0,1,1,0,0,1,0,0,0,0
True,True,True,False,-1.0,3.5,99.35,2018.0,669000.0,1,1,0,0,1,0,0,0,0
False,True,True,True,-1.0,2.0,53.7,2023.0,669900.0,2,1,0,0,1,0,0,0,0
False,True,True,False,-1.0,3.0,97.75,2023.0,670000.0,2,1,0,0,1,0,0,0,0
False,False,False,True,2.0,2.0,75.0,1889.0,674900.0,2,3,0,0,1,0,0,0,0
False,True,True,True,-1.0,2.0,55.67,2023.0,674900.0,2,1,0,0,1,0,0,0,0
True,True,False,False,-1.0,3.0,100.0,2000.0,675000.0,1,1,0,0,1,0,0,0,0
False,False,True,True,-1.0,2.0,59.8,2021.0,675400.0,1,3,0,0,1,0,0,0,0
False,True,True,True,11.0,4.0,123.0,1978.0,680000.0,1,2,0,0,1,0,0,0,0
False,False,False,False,-1.0,3.0,87.0,2022.0,680000.0,2,1,0,0,1,0,0,0,0
False,True,True,True,1.0,2.0,71.0,2013.0,649000.0,1,3,0,0,1,0,0,0,0
False,False,False,False,-1.0,2.5,88.0,1900.0,690000.0,1,3,0,0,1,0,0,0,0
False,True,True,True,-1.0,3.0,83.0,2016.0,690000.0,1,1,0,0,1,0,0,0,0
False,False,True,False,-1.0,2.0,70.5,2022.0,690900.0,1,1,0,0,1,0,0,0,0
False,False,True,True,-1.0,2.0,59.8,2021.0,695000.0,1,3,0,0,1,0,0,0,0
True,True,True,True,2.0,4.0,121.0,2006.0,695000.0,2,1,0,0,1,0,0,0,0
False,False,False,True,3.0,3.0,100.43,2023.0,695000.0,3,1,0,0,1,0,0,0,0
